"16.03.2012";"23:36:25";0,051;102,900;101,840;95,660;0,057;108,120;108,020;110,000;0,074;106,920;105,240;108,540
"16.03.2012";"23:41:26";0,050;103,060;101,960;95,800;0,056;108,320;108,200;110,040;0,073;107,020;105,400;108,720
"16.03.2012";"23:46:26";0,056;103,200;102,140;95,900;0,057;108,460;108,380;110,200;0,069;107,220;105,540;108,800
"16.03.2012";"23:51:26";0,053;103,300;102,300;96,120;0,057;108,580;108,500;110,460;0,072;107,340;105,660;108,940
"16.03.2012";"23:56:26";0,057;103,440;102,440;96,200;0,056;108,780;108,640;110,640;0,065;107,540;105,920;108,920
"17.03.2012";"00:01:26";0,054;103,660;102,560;96,360;0,059;108,960;108,800;110,740;0,068;107,660;105,980;109,140
"17.03.2012";"00:06:26";0,054;103,720;102,700;96,460;0,054;109,120;108,960;110,920;0,070;107,780;106,120;109,500
"17.03.2012";"00:11:26";0,054;103,900;102,860;96,600;0,058;109,240;109,120;111,080;0,067;107,860;106,280;109,480
"17.03.2012";"00:16:26";0,053;104,020;102,960;96,680;0,055;109,360;109,220;111,220;0,071;108,040;106,460;109,740
"17.03.2012";"00:21:25";0,054;104,200;103,100;96,880;0,056;109,560;109,380;111,300;0,072;108,200;106,560;109,780
"17.03.2012";"00:25:26";0,055;104,300;103,280;96,940;0,058;109,680;109,500;111,580;0,067;108,340;106,700;109,860
"17.03.2012";"00:30:26";0,054;104,480;103,360;97,040;0,056;109,840;109,680;111,660;0,069;108,500;106,820;110,080
"17.03.2012";"00:34:26";0,053;104,640;103,500;97,200;0,055;109,980;109,780;111,920;0,070;108,660;106,940;110,220
"17.03.2012";"00:39:26";0,055;104,740;103,680;97,260;0,057;110,080;109,940;111,960;0,068;108,780;107,100;110,220
"17.03.2012";"00:44:26";0,052;104,880;103,800;97,420;0,055;110,240;110,060;112,240;0,073;108,940;107,220;110,320
"17.03.2012";"00:49:26";0,056;105,020;103,920;97,520;0,059;110,360;110,200;112,340;0,069;109,020;107,340;110,520
"17.03.2012";"00:54:26";0,054;105,220;104,100;97,600;0,055;110,540;110,380;112,500;0,070;109,160;107,440;110,720
"17.03.2012";"00:59:26";0,055;105,240;104,200;97,760;0,056;110,660;110,480;112,580;0,069;109,240;107,600;110,820
"17.03.2012";"01:04:26";0,055;105,420;104,320;97,880;0,058;110,820;110,620;112,840;0,071;109,380;107,660;111,060
"17.03.2012";"01:09:25";0,055;105,580;104,480;97,940;0,056;110,960;110,720;112,940;0,072;109,520;107,840;111,120
"17.03.2012";"01:14:25";0,054;105,640;104,580;98,060;0,057;111,080;110,900;113,120;0,072;109,660;107,920;111,220
"17.03.2012";"01:19:25";0,055;105,880;104,720;98,240;0,058;111,200;111,000;113,320;0,066;109,720;108,060;111,320
"17.03.2012";"01:24:26";0,054;105,980;104,840;98,260;0,057;111,360;111,200;113,380;0,069;109,900;108,160;111,480
"17.03.2012";"01:29:26";0,051;106,080;105,000;98,360;0,056;111,480;111,320;113,460;0,074;110,040;108,340;111,500
"17.03.2012";"01:34:26";0,055;106,200;105,080;98,560;0,056;111,640;111,460;113,700;0,072;110,200;108,440;111,780
"17.03.2012";"01:39:26";0,054;106,340;105,180;98,580;0,055;111,780;111,640;113,840;0,071;110,300;108,600;111,780
"17.03.2012";"01:44:26";0,053;106,420;105,340;98,740;0,055;111,920;111,760;113,960;0,071;110,440;108,680;112,080
"17.03.2012";"01:49:26";0,055;106,500;105,420;98,840;0,055;112,080;111,920;113,980;0,072;110,560;108,820;112,080
